episode, total_reward, dirt_collected, elapsed_time
1,-12.88,7,3.42
2,-18.27,6,2.88
3,-15.99,7,2.70
4,2.10,4,3.13
5,4.10,4,3.12
6,-22.26,6,2.57
7,6.13,5,3.03
8,3.33,7,2.83
9,-2.28,7,2.81
10,6.56,8,2.80
11,9.70,11,2.91
12,-5.54,10,2.78
13,6.90,10,2.92
14,11.35,5,3.02
15,-8.98,7,2.82
16,15.73,9,3.01
17,14.38,9,2.95
18,19.85,14,2.87
19,5.39,13,2.86
20,14.26,12,2.93
21,13.86,14,2.81
22,11.72,18,2.74
23,-21.88,13,2.68
24,5.68,16,2.82
25,2.10,13,2.73
26,16.66,8,2.97
27,21.70,13,3.01
28,-14.84,16,2.80
29,-9.32,10,2.79
30,18.10,9,3.09
31,3.60,15,2.89
32,26.38,19,2.77
33,-2.27,20,2.84
34,24.21,17,2.95
35,-6.20,15,2.66
36,4.95,21,2.73
37,-21.13,15,2.70
38,16.97,14,2.84
39,-6.92,14,2.80
40,23.21,14,2.87
41,25.64,17,2.90
42,-3.49,16,2.74
43,-33.68,18,2.63
44,24.88,16,2.85
45,1.08,21,2.73
46,6.60,21,2.71
47,11.40,18,2.92
48,24.05,22,2.86
49,-1.39,19,2.81
50,20.19,19,2.79
51,17.50,18,2.77
52,21.13,18,2.87
53,13.28,16,2.77
54,21.59,17,2.80
55,17.15,17,2.75
56,20.99,17,2.80
57,25.00,18,2.84
58,25.36,19,2.72
59,17.89,16,2.86
60,27.51,21,2.84
61,16.22,19,2.71
62,27.39,19,2.82
63,26.26,23,2.80
64,29.44,23,2.84
65,27.21,23,2.81
66,25.21,22,2.86
67,22.48,20,2.76
68,24.53,21,2.75
69,20.73,21,2.74
70,17.68,14,2.67
71,24.30,23,2.84
72,22.71,21,2.79
73,15.04,25,2.52
74,31.11,23,2.76
75,20.43,20,2.75
76,18.32,17,2.92
77,26.34,20,2.78
78,16.45,17,2.71
79,28.13,21,2.76
80,21.72,23,2.70
81,28.18,22,2.82
82,22.66,25,2.73
83,24.05,25,2.35
84,21.99,20,2.71
85,28.11,25,2.62
86,22.43,25,2.83
87,21.43,19,2.90
88,22.62,23,2.85
89,24.13,21,2.74
90,29.58,25,2.36
91,21.36,24,2.75
92,6.04,17,2.62
93,22.06,22,2.68
94,27.39,22,2.72
95,22.41,23,2.68
96,24.11,24,2.74
97,21.11,25,2.56
98,11.83,20,2.73
99,28.69,23,2.72
100,28.47,24,2.70
101,26.83,25,2.66
102,10.69,21,2.66
103,23.67,22,2.83
104,17.79,21,2.73
105,29.63,24,2.77
106,23.66,21,2.71
107,22.86,22,2.67
108,22.98,20,2.62
109,21.05,24,2.72
110,18.21,19,2.66
111,14.41,19,2.69
112,22.53,22,2.69
113,24.79,22,2.67
114,24.47,21,2.68
115,9.51,17,2.60
116,18.44,18,2.69
117,28.77,25,2.31
118,20.18,20,2.69
119,22.95,23,2.71
120,32.29,25,2.15
121,28.39,24,2.69
122,14.51,20,2.58
123,18.86,20,2.66
124,24.49,21,2.67
125,29.06,25,2.05
126,17.95,22,2.85
127,16.43,18,2.57
128,21.65,23,2.67
129,24.60,21,2.66
130,23.67,22,2.66
131,19.61,25,2.19
132,16.51,22,2.60
133,22.31,20,2.74
134,6.37,15,2.55
135,24.99,21,2.73
136,25.21,22,2.65
137,23.49,22,2.69
138,18.41,20,2.69
139,26.81,25,2.56
140,29.83,25,2.19
141,27.49,25,1.84
142,22.31,23,2.81
143,21.84,20,2.66
144,26.30,24,2.64
145,20.12,21,2.62
146,19.89,22,2.66
147,24.03,24,2.87
148,23.79,21,2.70
149,16.00,20,2.59
150,30.09,24,2.67
151,6.39,14,2.52
152,22.73,25,2.16
153,28.24,25,2.50
154,31.16,25,2.48
155,25.81,24,2.64
156,28.09,25,2.01
157,28.37,25,2.56
158,11.66,22,2.63
159,20.62,22,2.67
160,31.07,25,1.80
161,20.14,22,2.76
162,24.96,24,2.68
163,14.99,20,2.59
164,13.63,20,2.58
165,19.75,21,2.59
166,23.82,25,2.16
167,24.03,24,2.71
168,19.39,20,2.61
169,11.22,17,2.58
170,29.75,25,2.02
171,21.23,21,2.62
172,28.67,25,2.30
173,18.00,21,2.75
174,16.53,20,2.61
175,12.48,22,2.68
176,17.53,22,2.63
177,21.21,21,2.68
178,19.44,20,2.67
179,26.91,24,2.65
180,7.07,18,2.60
181,21.64,24,2.68
182,30.05,25,1.86
183,24.19,22,2.65
184,19.01,21,2.62
185,14.10,22,2.57
186,20.98,21,2.60
187,12.30,21,2.67
188,30.95,25,1.88
189,24.93,22,2.71
190,17.62,22,2.68
191,16.52,20,2.60
192,25.70,24,2.72
193,23.50,21,2.66
194,19.61,20,2.65
195,20.60,22,2.62
196,22.35,21,2.62
197,21.93,21,2.69
198,21.47,21,2.68
199,21.39,23,2.74
200,17.88,20,2.60
201,21.73,21,2.76
202,20.16,20,2.71
203,19.60,21,2.77
204,22.86,21,2.68
205,17.97,21,2.58
206,20.62,21,2.63
207,18.69,22,2.71
208,27.71,24,2.62
209,29.92,25,2.26
210,18.88,21,2.64
211,19.74,21,2.61
212,21.43,21,2.65
213,20.04,21,2.69
214,24.00,22,2.64
215,31.38,25,1.97
216,14.75,20,3.07
217,31.13,25,2.34
218,18.85,18,2.61
219,20.83,21,2.63
220,20.29,22,2.94
221,16.36,20,2.77
222,24.60,24,2.72
223,11.41,18,2.72
224,22.12,21,2.65
225,17.39,21,2.68
226,23.63,21,2.95
227,22.29,21,2.81
228,21.13,20,2.70
229,27.19,24,2.76
230,22.34,20,2.58
231,18.08,21,2.70
232,23.45,22,2.72
233,21.10,21,2.71
234,21.72,20,2.66
235,20.04,21,2.61
236,24.42,24,2.65
237,20.79,21,2.75
238,27.29,24,2.64
239,8.02,18,2.67
240,24.49,21,2.65
241,21.37,21,2.71
242,26.44,24,2.71
243,30.24,25,2.28
244,27.62,25,1.75
245,30.18,25,1.89
246,24.07,21,2.68
247,16.37,22,2.63
248,29.33,25,2.03
249,17.38,22,2.85
250,27.18,24,2.92
